Frame,Total objects on frame,Object ID,TL x,TL y,BR x,BR y
1,13,truck-13,23,461,91.84295654909928,254.6109783354776
1,13,truck-12,1160,461,335.621093561314,252.9303883319119
1,13,car-11,1099,561,249.29048149663043,222.75286876334323
1,13,car-10,743,562,167.52206423276962,223.42631553850217
1,13,car-9,688,550,159.8803711271267,225.27836625547948
1,13,car-8,1026,552,237.0513458861662,223.63124057922948
1,13,car-7,956,558,219.13676456213224,222.28659038691356
1,13,car-6,585,542,151.98474548301073,230.29319763514312
1,13,car-5,403,559,112.31472740653268,241.50028974980773
1,13,car-4,1764,580,416.5785824499069,252.34783918228936
1,13,car-3,-2,497,98.88865769011812,253.78024305898631
1,13,car-2,475,554,132.41462667687267,235.8069916401138
1,13,car-1,1575,581,388.72876034355323,241.60867307015647
2,13,truck-13,22,460,91.81454647658933,254.6835076825792
2,13,truck-12,1153,453,340.7833790353983,254.76523137368287
2,13,car-11,1101,560,249.91644152023267,222.6880187472222
2,13,car-10,743,562,167.482545734787,223.57538374750578
2,13,car-9,687,550,159.86422974769835,225.38694799565144
2,13,car-8,1026,552,237.30900787189032,223.71045180217993
2,13,car-7,956,558,219.13971823654362,222.34342117496266
2,13,car-6,586,542,151.989326374004,230.3550536252351
2,13,car-5,403,559,112.34268513655519,241.5295244976913
2,13,car-4,1764,580,416.5974848860771,252.37778822007806
2,13,car-3,-3,497,98.99912671982369,253.79257838466845
2,13,car-2,476,554,132.47335408652538,235.76293164075153
2,13,car-1,1576,580,389.1233301143586,241.6749095765356
3,14,truck-14,1158,464,348.00674331117415,260.8753667663666
3,14,truck-13,21,460,91.78871154566252,254.73735402159824
3,14,truck-12,1156,443,347.4563087531665,255.9174379653042
3,14,car-11,1104,562,250.50763753220735,222.68132223983042
3,14,car-10,742,562,167.3820916549499,223.69053015917734
3,14,car-9,688,551,159.80753433754,225.3988676255851
3,14,car-8,1026,552,237.69718229834183,223.87670490086646
3,14,car-7,956,558,219.0952683919919,222.31633449211606
3,14,car-6,586,543,152.0996777080114,230.4503826971124
3,14,car-5,403,560,112.42196674324116,241.5932839014258
3,14,car-4,1764,581,416.612360270147,252.4982773516127
3,14,car-3,-3,497,99.03743030692132,253.8465762547707
3,14,car-2,476,555,132.56053376561135,235.77813631092485
3,14,car-1,1585,578,388.83725929363146,241.53455968701513
4,12,truck-13,20,460,91.57566537651627,254.85643159926067
4,12,truck-12,1159,431,356.9735892469654,258.6937831419517
4,12,car-10,742,563,167.26224004262914,223.82038675535648
4,12,car-9,688,552,159.8184575274152,225.54438601971086
4,12,car-8,1026,553,237.8227399927194,224.0518869392928
4,12,car-7,956,559,218.83029327565475,222.31415731316193
4,12,car-6,586,544,152.03941505769006,230.5639397837391
4,12,car-5,404,562,112.52750960803101,241.6117051264611
4,12,car-4,1764,581,416.5306697981267,252.40563723998676
4,12,car-3,-4,497,99.13855009444481,254.0358360841486
4,12,car-2,476,555,132.61147950640165,235.71461606535948
4,12,car-1,1615,579,391.66137414537275,242.42885328624723
5,11,truck-13,12,481,89.78870734404785,257.11423593925355
5,11,truck-12,1161,423,363.3372735667723,260.1581564243196
5,11,car-10,742,564,167.28001346877332,223.92763974487954
5,11,car-9,689,554,159.82083362165704,225.63236375497297
5,11,car-7,956,559,218.73950461602323,222.33973627318963
5,11,car-6,587,545,151.96010660084,230.6270416729622
5,11,car-5,405,563,112.59991033763349,241.59401080913173
5,11,car-4,1762,582,416.5087311830244,252.2879132372075
5,11,car-3,-5,497,99.2249930279327,254.13428320919743
5,11,car-2,478,560,132.51613731560357,236.37229733264718
5,11,car-1,1636,578,391.66735473932687,241.9253490338553
6,11,truck-14,1183,445,371.4106054827067,269.26531282714234
6,11,truck-13,13,490,91.63318309345638,258.54660460809527
6,11,truck-12,1169,416,371.0841712733961,262.02992860153546
6,11,car-10,742,565,167.33139913115258,224.00762586548288
6,11,car-9,689,554,159.84906020137262,225.67782006061796
6,11,car-7,956,560,218.711940823557,222.41755283860795
6,11,car-6,587,545,152.01286389555344,230.71731359593397
6,11,car-5,405,565,112.68523856453196,241.5582012880873
6,11,car-4,1761,583,416.3034237285074,252.1710195017609
6,11,car-3,-5,498,99.28209523260935,254.20903151398235
6,11,car-2,478,562,132.36310260176745,236.54773643953274
7,12,car-15,846,569,192.12609041508142,221.7641249822726
7,12,truck-14,1182,440,378.92235325819183,273.4443365929454
7,12,truck-13,12,494,92.59365687466385,258.88928577522444
7,12,truck-12,1172,412,377.2666128046225,263.201552031184
7,12,car-10,742,565,167.3642349294622,224.0547087252541
7,12,car-9,689,555,159.8435646537825,225.715615166783
7,12,car-7,957,560,218.7325777378446,222.4790864776762
7,12,car-6,587,545,152.10846240680615,230.80021186478618
7,12,car-5,405,566,112.74799113778806,241.54640042594482
7,12,car-4,1759,583,416.73964054386005,252.4857382148399
7,12,car-3,-9,500,95.37770508750882,255.10390222342312
7,12,car-2,477,563,132.29337389112914,236.6249243204424
8,10,truck-14,1208,431,393.187819275671,278.26154571299026
8,10,truck-13,11,495,93.19928082016031,259.1186788219047
8,10,car-10,743,567,167.4208098234633,224.1314028964508
8,10,car-9,689,556,159.80092833188746,225.78995282370667
8,10,car-8,1049,563,241.62098107752027,224.77114772092924
8,10,car-7,957,561,218.7754261495505,222.66628584955617
8,10,car-6,588,546,152.19408858303427,230.95091635433113
8,10,car-5,405,566,112.73248286641953,241.5485755141304
8,10,car-3,-8,501,93.75892255352625,255.78191821158293
8,10,car-2,477,563,132.21711768503351,236.65039693958957
9,10,truck-14,1221,423,402.90991641422033,280.945074824197
9,10,truck-13,10,496,93.56978898644527,259.2317728685639
9,10,car-10,743,568,167.43783120276862,224.17402453881917
9,10,car-9,689,556,159.8038564285696,225.8085802445811
9,10,car-8,1049,564,241.96603039870317,225.00140531440638
9,10,car-7,957,561,218.7979199864319,222.7891358558253
9,10,car-6,588,546,152.1751009179507,231.05776427412346
9,10,car-5,405,567,112.65852736572162,241.51718003385542
9,10,car-3,-7,501,93.00003474831689,256.33304517992156
9,10,car-2,478,564,132.14300280231643,236.68586821128866
10,10,truck-14,1234,415,410.74494556130776,282.77496037510645
10,10,truck-13,9,497,93.99729271272224,259.40610998888997
10,10,car-10,743,569,167.41029651830974,224.24734249455955
